,구,행정동,면적 (k㎡),인구 (명),면적 (㎢),인구밀도 (명/㎢),보육시설,외국인주민,중위연령,기초수급자,상가면적,도로비율,임야비율,공원비율,전세m2당보증금,학원갯수
231,양천구,신월5동,0.69,14750,0.69,21377,0.03335593220338983,0.02528813559322034,45.6,0.052,0.0,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
232,양천구,신월6동,0.41,13945,0.41,34012,0.03958408031552528,0.009537468626747939,41.5,0.01921835783434923,5817.073170731707,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
233,양천구,신월7동,1.19,19917,1.19,16737,0.02876939298087061,0.020585429532560123,50.1,0.05382336697293769,1888.235294117647,0.19809277734828398,0.11097653450943606,0.09577834323949454,446.0,239.0
234,양천구,신정1동,0.7,20487,0.7,29267,0.017474496021867524,0.012446917557475472,43.8,0.01283740908869039,1914.2857142857144,0.171826648760678,0.07224257198294505,0.1196054579178446,586.0,865.0
235,양천구,신정2동,0.52,19596,0.52,37685,0.01658501735047969,0.013370075525617474,45.0,0.03628291488058787,8475.0,0.171826648760678,0.07224257198294505,0.1196054579178446,586.0,865.0
236,양천구,신정4동,1.01,33343,1.01,33013,0.027801937438142937,0.04303751911945536,45.2,0.0527247098341481,0.0,0.171826648760678,0.07224257198294505,0.1196054579178446,586.0,865.0
237,양천구,신정3동,2.72,49979,2.72,18375,0.02122891614478081,0.01946817663418636,44.7,0.04762000040016807,0.0,0.171826648760678,0.07224257198294505,0.1196054579178446,586.0,865.0
238,양천구,신정6동,0.96,24552,0.96,25575,0.016943629846855653,0.005131964809384164,43.1,0.0031362007168458782,0.0,0.171826648760678,0.07224257198294505,0.1196054579178446,586.0,865.0
239,양천구,신정7동,1.21,29171,1.21,24108,0.023242261149772035,0.015014912070206712,46.8,0.061053786294607656,0.0,0.171826648760678,0.07224257198294505,0.1196054579178446,586.0,865.0
240,강서구,염창동,1.74,41764,1.74,24002,0.03287520352456661,0.007015611531462504,39.8,0.005578967531845609,0.0,0.11897747600646558,0.02830457326659115,0.04219087762303011,656.0,86.0
241,강서구,등촌1동,0.64,24436,0.64,38181,0.020134228187919462,0.01555082664920609,37.0,0.012645277459486005,3632.8125,0.18685108348726928,0.12362532451426052,0.024539827005801745,666.0,189.0
242,강서구,등촌2동,0.92,20423,0.92,22199,0.01782304264799491,0.013171424374479754,43.4,0.021152622043774175,0.0,0.18685108348726928,0.12362532451426052,0.024539827005801745,666.0,189.0
243,강서구,등촌3동,0.79,30714,0.79,38878,0.022139740834798464,0.015367584814742463,49.3,0.17929934231946343,0.0,0.18685108348726928,0.12362532451426052,0.024539827005801745,666.0,189.0
244,강서구,화곡본동,0.98,34612,0.98,35318,0.038917138564659656,0.0288628221426095,41.1,0.0550098231827112,2893.877551020408,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
245,강서구,화곡2동,0.45,18096,0.45,40213,0.028625110521662247,0.03735632183908046,44.1,0.05166887709991158,0.0,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
246,강서구,화곡3동,0.53,21661,0.53,40870,0.02349845344166936,0.018281704445778126,45.1,0.03125432805502978,5167.924528301886,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
247,강서구,화곡4동,0.82,20820,0.82,25390,0.0329490874159462,0.035350624399615754,46.1,0.05898174831892411,9250.0,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
248,강서구,화곡6동,1.11,25096,1.11,22609,0.024585591329295504,0.021198597386037615,42.4,0.04060408033152694,0.0,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
249,강서구,화곡8동,0.53,24789,0.53,46772,0.022348622372826657,0.04046149501795151,44.4,0.046189842268748234,25315.09433962264,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
250,강서구,가양1동,4.7,34395,4.7,7318,0.029917139119058002,0.014217182730047972,35.5,0.008925715947085333,0.0,0.1208297663725675,0.003268305230609966,0.0999891802672567,659.0,132.0
251,강서구,가양2동,1.0,14109,1.0,14109,0.024948614359628606,0.015380253738748316,55.7,0.2360195619817138,0.0,0.11996862004951273,0.0011994922365948931,0.08191623023774658,610.0,41.0
252,강서구,가양3동,0.5,15138,0.5,30276,0.019091029198044656,0.018034086405073327,49.6,0.15272823358435725,0.0,0.11996862004951273,0.0011994922365948931,0.08191623023774658,610.0,41.0
253,강서구,발산1동,2.94,36572,2.94,12439,0.029093295417259104,0.011128732363556819,43.3,0.04227277698785956,4577.551020408163,0.12607329249362423,0.06427380569545248,0.10685441195620549,613.0,172.0
254,강서구,공항동,10.87,31483,10.87,2896,0.03338309563891624,0.038941651049772895,40.9,0.056252580757869326,0.0,0.06290855076380975,0.023426080011771013,0.02725597962875743,585.0,116.0
255,강서구,방화1동,1.48,43181,1.48,29176,0.026168916884740975,0.015400291795002432,43.5,0.02802158356684653,2335.810810810811,0.10981832281391724,0.039913847545769494,0.05451195925751486,585.0,116.0
256,강서구,방화2동,6.41,23656,6.41,3690,0.020629015894487658,0.026885356780520796,46.3,0.07177882989516401,558.8143525741029,0.08490605601469756,0.13392426855099857,0.019379118190875587,401.0,108.0
257,강서구,방화3동,2.55,22924,2.55,8990,0.029139766183912057,0.014875239923224568,48.9,0.09928459256674228,0.0,0.1157365307131347,0.10112876358646102,0.03823646655437758,535.0,108.0
258,강서구,화곡1동,1.12,52770,1.12,47116,0.018571157854841765,0.04153875307940118,41.4,0.03735076748152359,9233.035714285714,0.18269793857946753,0.10816720948643559,0.051783308779550286,617.0,342.0
259,강서구,우장산동,1.36,43129,1.36,31713,0.0215864035799578,0.011569941338774375,43.2,0.01609126110041967,0.0,0.17366140511833345,0.07978632495891311,0.1203198264021363,581.0,317.0
260,구로구,신도림동,1.47,36342,1.47,24722,0.026883495679929557,0.018105772934896264,41.4,0.0051730779813989325,0.0,0.15184927526418657,0.0,0.0078093207017235385,667.0,114.0
261,구로구,구로1동,1.02,21166,1.02,20751,0.032221487290938294,0.016724936218463573,41.4,0.004724558253803269,0.0,0.19882981249899281,0.0007053219139149403,0.007751013079834572,507.0,212.0
262,구로구,구로2동,1.76,31164,1.76,17707,0.02441920164292132,0.4893145937620331,50.9,0.03619561031959954,2450.568181818182,0.19882981249899281,0.0007053219139149403,0.007751013079834572,507.0,212.0
263,구로구,구로3동,1.02,25157,1.02,24664,0.028858766943594228,0.14508884207178915,40.7,0.01955718090392336,0.0,0.19882981249899281,0.0007053219139149403,0.007751013079834572,507.0,212.0
